image_id,breed,species,split,center_x,center_y,xmin,ymin,xmax,ymax,normalized_area
black_footed_albatross_0090_796077,black_footed_albatross,bird,test,0.509259,0.507353,5,4,215,134,0.9293300653594772
black_footed_albatross_0056_796078,black_footed_albatross,bird,train,0.496,0.45,154,93,342,258,0.1590769230769231
black_footed_albatross_0061_796082,black_footed_albatross,bird,test,0.533333,0.505348,50,25,206,164,0.48315508021390374
black_footed_albatross_0008_796083,black_footed_albatross,bird,test,0.609,0.596639,172,106,437,320,0.317703081232493
black_footed_albatross_0033_796086,black_footed_albatross,bird,test,0.483,0.402667,37,61,446,241,0.39264
black_footed_albatross_0024_796089,black_footed_albatross,bird,test,0.439,0.566425,65,62,374,407,0.515
black_footed_albatross_0005_796090,black_footed_albatross,bird,test,0.501,0.432836,1,2,500,288,0.852023880597015
black_footed_albatross_0026_796095,black_footed_albatross,bird,test,0.429,0.391566,97,3,332,257,0.35957831325301204
black_footed_albatross_0080_796096,black_footed_albatross,bird,train,0.537234,0.417702,90,29,314,240,0.39037927844588344
black_footed_albatross_0047_796064,black_footed_albatross,bird,train,0.39,0.459722,38,15,352,316,0.5250777777777778
black_footed_albatross_0017_796098,black_footed_albatross,bird,train,0.456,0.491071,20,91,436,294,0.4308571428571429
black_footed_albatross_0064_796101,black_footed_albatross,bird,test,0.53,0.546547,82,52,342,312,0.5075075075075075
black_footed_albatross_0076_417,black_footed_albatross,bird,test,0.492,0.503401,66,115,426,329,0.34938775510204084
black_footed_albatross_0019_796104,black_footed_albatross,bird,train,0.502,0.488166,19,18,483,312,0.8071952662721894
black_footed_albatross_0057_796106,black_footed_albatross,bird,train,0.43,0.452522,72,40,358,265,0.38189910979228486
black_footed_albatross_0041_796108,black_footed_albatross,bird,train,0.653,0.392,216,119,437,273,0.136136
black_footed_albatross_0053_796109,black_footed_albatross,bird,test,0.492308,0.503333,40,4,408,449,0.7998046398046398
black_footed_albatross_0001_796111,black_footed_albatross,bird,test,0.526563,0.571749,69,57,268,198,0.3932034753363229
black_footed_albatross_0071_796113,black_footed_albatross,bird,train,0.59383,0.451,130,29,332,422,0.4081542416452442
black_footed_albatross_0077_796114,black_footed_albatross,bird,train,0.453333,0.409,53,46,355,363,0.42548444444444444
black_footed_albatross_0032_796115,black_footed_albatross,bird,train,0.418,0.434726,25,17,393,316,0.5745796344647519
black_footed_albatross_0038_212,black_footed_albatross,bird,train,0.561,0.427711,137,64,424,220,0.269710843373494
black_footed_albatross_0037_796120,black_footed_albatross,bird,test,0.396205,0.556985,111,42,244,261,0.23902803308823528
black_footed_albatross_0082_796121,black_footed_albatross,bird,test,0.504,0.417333,58,51,446,262,0.4366293333333333
black_footed_albatross_0079_796122,black_footed_albatross,bird,train,0.457692,0.472145,13,28,225,311,0.6427683736875938
black_footed_albatross_0050_796125,black_footed_albatross,bird,test,0.506,0.7,5,127,501,258,0.4725527272727273
black_footed_albatross_0078_796126,black_footed_albatross,bird,test,0.510116,0.65,113,260,240,390,0.09543352601156069
black_footed_albatross_0036_796127,black_footed_albatross,bird,train,0.351,0.465333,49,69,302,280,0.2847093333333333
black_footed_albatross_0045_796129,black_footed_albatross,bird,test,0.481,0.629518,24,144,457,274,0.3390963855421687
black_footed_albatross_0039_796132,black_footed_albatross,bird,train,0.612,0.504,151,152,461,352,0.248
black_footed_albatross_0088_796133,black_footed_albatross,bird,test,0.622388,0.5175,157,45,260,369,0.24904477611940298
black_footed_albatross_0068_796135,black_footed_albatross,bird,train,0.552,0.536364,60,29,492,384,0.7966753246753246
black_footed_albatross_0003_796136,black_footed_albatross,bird,test,0.474,0.501333,131,36,343,340,0.3437226666666667
black_footed_albatross_0007_796138,black_footed_albatross,bird,train,0.424,0.519934,152,86,272,227,0.11242524916943522
black_footed_albatross_0069_796139,black_footed_albatross,bird,train,0.4825,0.525,2,45,191,165,0.567
black_footed_albatross_0035_796140,black_footed_albatross,bird,test,0.632,0.53003,214,87,418,266,0.2193153153153153
black_footed_albatross_0063_796141,black_footed_albatross,bird,train,0.501736,0.429688,46,24,243,141,0.4168294270833333
black_footed_albatross_0058_796074,black_footed_albatross,bird,test,0.368,0.479042,72,29,296,291,0.3514251497005988
black_footed_albatross_0081_426,black_footed_albatross,bird,train,0.452,0.50625,96,77,356,247,0.27625
laysan_albatross_0002_1027,laysan_albatross,bird,test,0.621,0.326667,144,40,477,205,0.29304
laysan_albatross_0003_1033,laysan_albatross,bird,train,0.568,0.528,202,28,366,368,0.2973866666666667
laysan_albatross_0082_524,laysan_albatross,bird,test,0.527,0.481333,72,68,455,293,0.4596
laysan_albatross_0044_784,laysan_albatross,bird,train,0.558,0.667897,60,128,498,234,0.3426420664206642
laysan_albatross_0070_788,laysan_albatross,bird,test,0.486446,0.431,32,35,291,396,0.5632469879518073
laysan_albatross_0050_870,laysan_albatross,bird,train,0.469,0.540541,41,79,428,281,0.4695135135135135
laysan_albatross_0071_792,laysan_albatross,bird,train,0.438,0.493994,156,35,282,294,0.196
laysan_albatross_0053_543,laysan_albatross,bird,test,0.446,0.593093,108,123,338,272,0.20582582582582581
laysan_albatross_0081_800,laysan_albatross,bird,train,0.472,0.551075,82,75,390,335,0.43053763440860215
laysan_albatross_0001_545,laysan_albatross,bird,test,0.421829,0.49,89,172,197,318,0.09302654867256638
laysan_albatross_0023_1059,laysan_albatross,bird,test,0.377,0.664,83,124,294,374,0.2813333333333333
laysan_albatross_0065_809,laysan_albatross,bird,train,0.525,0.582667,75,80,450,357,0.554
laysan_albatross_0061_563,laysan_albatross,bird,train,0.466,0.483483,41,31,425,291,0.5996396396396396
laysan_albatross_0085_564,laysan_albatross,bird,train,0.358,0.501362,45,31,313,337,0.4469100817438692
laysan_albatross_0005_565,laysan_albatross,bird,train,0.392,0.563063,38,91,354,284,0.3662942942942943
laysan_albatross_0060_777,laysan_albatross,bird,test,0.476,0.565287,137,72,339,283,0.2714777070063694
laysan_albatross_0055_570,laysan_albatross,bird,train,0.439,0.487952,15,25,424,299,0.6750963855421687
laysan_albatross_0025_571,laysan_albatross,bird,train,0.588,0.510676,193,46,395,241,0.280355871886121
laysan_albatross_0080_821,laysan_albatross,bird,test,0.514,0.599068,99,115,415,399,0.4183869463869464
laysan_albatross_0092_834,laysan_albatross,bird,train,0.454,0.504505,71,50,383,286,0.44223423423423425
laysan_albatross_0013_910,laysan_albatross,bird,train,0.492,0.447447,67,25,425,273,0.5332372372372373
laysan_albatross_0091_602,laysan_albatross,bird,test,0.494,0.416883,109,13,385,308,0.422961038961039
laysan_albatross_0102_611,laysan_albatross,bird,test,0.488,0.444,35,114,453,330,0.361152
laysan_albatross_0099_869,laysan_albatross,bird,train,0.46,0.482,41,89,419,393,0.459648
laysan_albatross_0017_614,laysan_albatross,bird,test,0.488,0.574,8,75,358,499,0.7914666666666667
laysan_albatross_0047_619,laysan_albatross,bird,train,0.509,0.457113,157,36,352,401,0.29780334728033475
laysan_albatross_0035_876,laysan_albatross,bird,test,0.497,0.482709,30,7,467,328,0.8085129682997119
laysan_albatross_0098_621,laysan_albatross,bird,test,0.448,0.584,58,91,390,347,0.4532906666666667
laysan_albatross_0088_883,laysan_albatross,bird,train,0.453,0.534431,84,25,369,332,0.5239221556886228
laysan_albatross_0034_628,laysan_albatross,bird,test,0.63,0.540541,193,53,437,307,0.3722282282282282
laysan_albatross_0104_630,laysan_albatross,bird,test,0.356,0.338235,119,42,237,165,0.09486274509803921
laysan_albatross_0058_637,laysan_albatross,bird,test,0.495,0.539039,18,60,477,299,0.6588648648648648
laysan_albatross_0028_643,laysan_albatross,bird,test,0.471,0.504,135,120,336,258,0.147936
laysan_albatross_0033_658,laysan_albatross,bird,test,0.412,0.450599,45,10,367,291,0.541808383233533
laysan_albatross_0075_668,laysan_albatross,bird,test,0.341,0.497059,120,60,221,278,0.12951764705882354
laysan_albatross_0076_671,laysan_albatross,bird,train,0.576,0.529333,151,23,425,374,0.512928
laysan_albatross_0096_673,laysan_albatross,bird,train,0.495,0.562667,46,71,449,351,0.6018133333333333
laysan_albatross_0064_674,laysan_albatross,bird,test,0.458,0.498498,118,19,340,313,0.392
laysan_albatross_0039_924,laysan_albatross,bird,train,0.409,0.459936,24,53,385,234,0.4188525641025641
laysan_albatross_0049_918,laysan_albatross,bird,test,0.499,0.527941,13,58,486,301,0.6761117647058823
laysan_albatross_0012_696,laysan_albatross,bird,test,0.556,0.477199,125,72,431,221,0.29702931596091203
laysan_albatross_0056_500,laysan_albatross,bird,train,0.515,0.519062,92,47,423,307,0.5047507331378299
laysan_albatross_0037_699,laysan_albatross,bird,test,0.491,0.53003,152,41,339,312,0.3043663663663664
laysan_albatross_0006_702,laysan_albatross,bird,train,0.617117,0.574,83,90,328,484,0.5797597597597598
laysan_albatross_0073_927,laysan_albatross,bird,train,0.506,0.438438,127,55,379,237,0.27545945945945943
laysan_albatross_0042_801,laysan_albatross,bird,test,0.515,0.525526,116,18,399,332,0.5337057057057057
laysan_albatross_0004_930,laysan_albatross,bird,test,0.415,0.548,64,94,351,317,0.3413386666666667
laysan_albatross_0093_725,laysan_albatross,bird,test,0.396,0.497006,138,88,258,244,0.11209580838323353
laysan_albatross_0068_726,laysan_albatross,bird,train,0.558559,0.556,43,62,329,494,0.742054054054054
laysan_albatross_0040_472,laysan_albatross,bird,train,0.445,0.532746,148,115,297,308,0.14487153652392948
laysan_albatross_0100_735,laysan_albatross,bird,train,0.443,0.55638,136,66,307,309,0.2466053412462908
laysan_albatross_0021_737,laysan_albatross,bird,test,0.517,0.518182,140,100,377,299,0.24500259740259742
laysan_albatross_0029_482,laysan_albatross,bird,train,0.439,0.414414,31,52,408,224,0.38945345345345345
laysan_albatross_0059_488,laysan_albatross,bird,test,0.383,0.474551,26,53,357,264,0.4182095808383234
laysan_albatross_0018_492,laysan_albatross,bird,train,0.603,0.537313,183,80,420,280,0.2829850746268657
laysan_albatross_0083_756,laysan_albatross,bird,train,0.477,0.624625,128,109,349,307,0.2628108108108108
laysan_albatross_0094_1013,laysan_albatross,bird,train,0.496,0.549849,165,48,331,316,0.268809667673716
laysan_albatross_0103_504,laysan_albatross,bird,test,0.472,0.496,145,42,327,330,0.279552
laysan_albatross_0079_506,laysan_albatross,bird,test,0.55,0.542667,92,69,458,338,0.525088
laysan_albatross_0051_1020,laysan_albatross,bird,train,0.317,0.485333,77,93,240,271,0.15474133333333334
sooty_albatross_0038_1065,sooty_albatross,bird,train,0.614,0.529687,196,96,418,243,0.2039625
sooty_albatross_0031_1066,sooty_albatross,bird,train,0.6,0.565826,102,128,498,276,0.3283361344537815
sooty_albatross_0001_1071,sooty_albatross,bird,train,0.572727,0.549,105,133,273,416,0.28814545454545454
sooty_albatross_0016_1075,sooty_albatross,bird,train,0.518,0.495509,169,41,349,290,0.26838323353293414
sooty_albatross_0043_1076,sooty_albatross,bird,train,0.424,0.613,1,134,317,479,0.58144
sooty_albatross_0003_1078,sooty_albatross,bird,test,0.52,0.529412,36,63,484,315,0.6324705882352941
sooty_albatross_0077_1080,sooty_albatross,bird,train,0.511,0.529851,92,117,419,238,0.23622089552238806
sooty_albatross_0063_1101,sooty_albatross,bird,train,0.286,0.348315,55,49,231,199,0.14831460674157304
sooty_albatross_0044_1105,sooty_albatross,bird,test,0.552,0.495482,206,107,346,222,0.09698795180722891
sooty_albatross_0071_1116,sooty_albatross,bird,test,0.436,0.460459,98,24,338,337,0.38326530612244897
sooty_albatross_0070_796346,sooty_albatross,bird,train,0.451042,0.473611,114,30,319,311,0.3333622685185185
sooty_albatross_0030_1122,sooty_albatross,bird,test,0.547,0.501502,75,2,472,332,0.7868468468468468
sooty_albatross_0054_796347,sooty_albatross,bird,test,0.302,0.506596,86,57,216,327,0.18522427440633246
sooty_albatross_0033_1128,sooty_albatross,bird,test,0.464,0.462349,49,75,415,232,0.3461566265060241
sooty_albatross_0048_1130,sooty_albatross,bird,test,0.301,0.614114,33,118,268,291,0.24417417417417417
sooty_albatross_0032_1149,sooty_albatross,bird,train,0.391,0.376,121,74,270,208,0.10648533333333333
sooty_albatross_0034_1154,sooty_albatross,bird,train,0.48875,0.481,134,96,257,385,0.177735
sooty_albatross_0055_1160,sooty_albatross,bird,train,0.618,0.546547,165,34,453,330,0.512
sooty_albatross_0024_1161,sooty_albatross,bird,test,0.538571,0.527,98,140,279,387,0.25546857142857143
sooty_albatross_0045_1162,sooty_albatross,bird,train,0.505,0.499,6,1,499,498,0.980084
sooty_albatross_0073_1171,sooty_albatross,bird,train,0.477401,0.581,89,168,249,413,0.2214689265536723
sooty_albatross_0074_1221,sooty_albatross,bird,train,0.33,0.577844,9,67,321,319,0.47080239520958084
sooty_albatross_0021_796339,sooty_albatross,bird,train,0.42,0.485915,1,14,251,262,0.7276995305164319
sooty_albatross_0005_796342,sooty_albatross,bird,test,0.477117,0.441489,1,15,416,317,0.7627562198743854
sooty_albatross_0064_796343,sooty_albatross,bird,train,0.615,0.529851,191,51,424,304,0.351934328358209
sooty_albatross_0042_1210,sooty_albatross,bird,test,0.212,0.46118,0,67,212,230,0.2146335403726708
sooty_albatross_0046_1211,sooty_albatross,bird,test,0.621,0.551051,122,35,499,332,0.6724864864864865
sooty_albatross_0017_796349,sooty_albatross,bird,train,0.477,0.518212,105,77,372,236,0.2811456953642384
sooty_albatross_0049_796350,sooty_albatross,bird,test,0.493333,0.509887,16,36,206,325,0.6893910860012555
sooty_albatross_0050_796351,sooty_albatross,bird,test,0.49,0.446429,12,9,478,316,0.7860549450549451
sooty_albatross_0075_796352,sooty_albatross,bird,train,0.483,0.564516,14,39,469,206,0.7003225806451613
sooty_albatross_0068_796353,sooty_albatross,bird,train,0.458,0.493994,165,55,293,274,0.16836036036036037
sooty_albatross_0057_796354,sooty_albatross,bird,train,0.432,0.56117,37,35,179,176,0.426
sooty_albatross_0010_796355,sooty_albatross,bird,test,0.513,0.503003,113,91,400,244,0.26372972972972974
sooty_albatross_0029_796357,sooty_albatross,bird,test,0.44,0.5375,15,46,425,384,0.6929
sooty_albatross_0069_796358,sooty_albatross,bird,test,0.507,0.613043,145,104,362,319,0.270463768115942
sooty_albatross_0020_796359,sooty_albatross,bird,test,0.548889,0.5,136,6,358,346,0.4765151515151515
sooty_albatross_0058_796360,sooty_albatross,bird,train,0.4511,0.504444,22,13,347,441,0.7557728878022276
sooty_albatross_0025_796361,sooty_albatross,bird,train,0.4,0.459854,0,0,400,378,0.7357664233576642
sooty_albatross_0041_796364,sooty_albatross,bird,train,0.615,0.52027,139,33,476,352,0.5810972972972973
sooty_albatross_0076_796365,sooty_albatross,bird,test,0.711,0.561377,247,62,464,313,0.3261497005988024
sooty_albatross_0004_796366,sooty_albatross,bird,test,0.513,0.520833,123,46,390,454,0.4539
sooty_albatross_0065_796367,sooty_albatross,bird,test,0.429,0.510331,55,65,374,429,0.4798181818181818
sooty_albatross_0072_796371,sooty_albatross,bird,train,0.443,0.522523,0,74,443,274,0.5321321321321322
sooty_albatross_0007_796372,sooty_albatross,bird,test,0.505,0.508955,14,7,491,334,0.9312179104477611
sooty_albatross_0014_796373,sooty_albatross,bird,train,0.493,0.619808,22,98,471,290,0.550849840255591
sooty_albatross_0051_796374,sooty_albatross,bird,test,0.361588,0.542553,27,37,310,269,0.49961951724347853
sooty_albatross_0040_796375,sooty_albatross,bird,train,0.560102,0.467,96,58,342,409,0.4416675191815857
sooty_albatross_0067_796376,sooty_albatross,bird,test,0.528,0.478667,177,13,351,346,0.309024
sooty_albatross_0066_796382,sooty_albatross,bird,test,0.532,0.463659,132,82,400,288,0.27673182957393483
sooty_albatross_0036_796387,sooty_albatross,bird,test,0.456,0.424242,150,44,306,236,0.18152727272727273
sooty_albatross_0079_796389,sooty_albatross,bird,train,0.496644,0.509375,37,18,259,308,0.6751258389261745
sooty_albatross_0006_796390,sooty_albatross,bird,test,0.563,0.492492,209,1,354,327,0.2839039039039039
sooty_albatross_0019_796391,sooty_albatross,bird,train,0.595,0.27994,236,36,359,151,0.08470059880239521
sooty_albatross_0002_796395,sooty_albatross,bird,test,0.569,0.509709,95,65,474,250,0.4538187702265372
sooty_albatross_0022_796398,sooty_albatross,bird,train,0.505714,0.507557,20,18,334,385,0.8293486865779057
sooty_albatross_0023_796401,sooty_albatross,bird,train,0.394643,0.503571,19,9,202,414,0.6302295918367347
sooty_albatross_0013_796402,sooty_albatross,bird,test,0.507812,0.4875,77,38,248,196,0.351796875
groove_billed_ani_0068_1538,groove_billed_ani,bird,test,0.579,0.520161,214,30,365,357,0.2654677419354839
groove_billed_ani_0094_1540,groove_billed_ani,bird,test,0.467,0.545,17,87,450,349,0.56723
groove_billed_ani_0033_1494,groove_billed_ani,bird,train,0.421,0.598667,140,76,281,373,0.223344
groove_billed_ani_0069_1546,groove_billed_ani,bird,train,0.432,0.526,62,108,370,418,0.38192
groove_billed_ani_0080_1549,groove_billed_ani,bird,test,0.442,0.621849,113,88,329,356,0.32430252100840334
groove_billed_ani_0071_1559,groove_billed_ani,bird,train,0.528529,0.496,61,41,291,455,0.5718918918918919
groove_billed_ani_0037_1560,groove_billed_ani,bird,test,0.615,0.584084,226,140,389,249,0.1067087087087087
groove_billed_ani_0017_1561,groove_billed_ani,bird,test,0.561,0.505333,63,90,498,289,0.46168
groove_billed_ani_0105_1562,groove_billed_ani,bird,train,0.553,0.552561,115,62,438,348,0.4979946091644205
groove_billed_ani_0090_1567,groove_billed_ani,bird,train,0.462,0.496997,71,43,391,288,0.4708708708708709
groove_billed_ani_0019_1585,groove_billed_ani,bird,train,0.511,0.623123,200,149,311,266,0.078
groove_billed_ani_0031_1588,groove_billed_ani,bird,test,0.565,0.565868,166,113,399,265,0.21207185628742514
groove_billed_ani_0107_1590,groove_billed_ani,bird,test,0.485,0.477333,170,73,315,285,0.16394666666666666
groove_billed_ani_0035_1591,groove_billed_ani,bird,test,0.395143,0.411,62,28,296,383,0.3667549668874172
groove_billed_ani_0109_1592,groove_billed_ani,bird,test,0.5,0.529,86,100,247,429,0.31813213213213215
groove_billed_ani_0036_1604,groove_billed_ani,bird,train,0.499,0.525333,61,52,438,342,0.5830933333333334
groove_billed_ani_0085_1612,groove_billed_ani,bird,train,0.592,0.604,205,140,387,313,0.16792533333333334
groove_billed_ani_0018_1613,groove_billed_ani,bird,train,0.643,0.50753,228,28,415,309,0.3165481927710843
groove_billed_ani_0007_1615,groove_billed_ani,bird,train,0.539,0.57958,166,86,373,300,0.2660540540540541
groove_billed_ani_0075_1617,groove_billed_ani,bird,test,0.612,0.514423,174,29,438,399,0.4696153846153846
groove_billed_ani_0029_1620,groove_billed_ani,bird,test,0.494019,0.548,102,103,311,445,0.342
groove_billed_ani_0108_1639,groove_billed_ani,bird,test,0.38,0.472973,103,46,277,374,0.2570810810810811
groove_billed_ani_0100_1646,groove_billed_ani,bird,test,0.456,0.492492,165,86,291,242,0.11805405405405406
groove_billed_ani_0051_1650,groove_billed_ani,bird,train,0.49625,0.483,92,94,305,389,0.314175
groove_billed_ani_0015_1653,groove_billed_ani,bird,train,0.382143,0.514286,102,56,219,232,0.17510204081632652
groove_billed_ani_0076_1661,groove_billed_ani,bird,train,0.6,0.640988,247,135,353,306,0.10538372093023256
groove_billed_ani_0046_1663,groove_billed_ani,bird,test,0.378,0.558577,68,157,310,377,0.22276150627615063
groove_billed_ani_0002_1670,groove_billed_ani,bird,train,0.48,0.491667,24,58,456,296,0.5712
groove_billed_ani_0053_1672,groove_billed_ani,bird,test,0.558,0.587193,169,105,389,326,0.2649591280653951
groove_billed_ani_0088_1678,groove_billed_ani,bird,test,0.437,0.576,131,101,306,331,0.21466666666666667
groove_billed_ani_0072_1696,groove_billed_ani,bird,train,0.461378,0.492,147,142,295,350,0.12853444676409187
groove_billed_ani_0082_1697,groove_billed_ani,bird,test,0.48,0.456,178,28,302,314,0.18914133333333333
groove_billed_ani_0101_1700,groove_billed_ani,bird,test,0.397759,0.482,65,54,219,428,0.32266666666666666
groove_billed_ani_0010_1704,groove_billed_ani,bird,test,0.485,0.580119,184,99,301,292,0.13401186943620177
groove_billed_ani_0047_1706,groove_billed_ani,bird,train,0.559,0.534384,115,59,444,314,0.48077363896848135
groove_billed_ani_0040_1715,groove_billed_ani,bird,test,0.539414,0.545,120,144,359,401,0.2766801801801802
groove_billed_ani_0077_1724,groove_billed_ani,bird,train,0.449675,0.52,22,103,255,417,0.4750779220779221
groove_billed_ani_0091_1728,groove_billed_ani,bird,train,0.355,0.647761,34,138,321,296,0.2707223880597015
groove_billed_ani_0074_1730,groove_billed_ani,bird,test,0.452,0.528075,143,70,309,325,0.22636363636363635
groove_billed_ani_0044_1731,groove_billed_ani,bird,train,0.609,0.489333,110,67,499,300,0.48339733333333335
groove_billed_ani_0059_1480,groove_billed_ani,bird,test,0.635,0.375,187,60,321,315,0.17085
groove_billed_ani_0023_1485,groove_billed_ani,bird,train,0.348,0.60961,110,75,238,331,0.1968048048048048
groove_billed_ani_0004_1528,groove_billed_ani,bird,train,0.725,0.506024,290,97,435,239,0.12403614457831326
groove_billed_ani_0056_1493,groove_billed_ani,bird,train,0.36,0.545918,45,43,315,385,0.4711224489795918
groove_billed_ani_0005_1750,groove_billed_ani,bird,test,0.557,0.570667,58,54,499,374,0.75264
groove_billed_ani_0058_1751,groove_billed_ani,bird,train,0.476,0.475196,160,65,316,299,0.190621409921671
groove_billed_ani_0027_1754,groove_billed_ani,bird,train,0.406,0.542667,89,34,317,373,0.412224
groove_billed_ani_0014_1755,groove_billed_ani,bird,test,0.546667,0.514,94,22,316,492,0.55648
groove_billed_ani_0055_1501,groove_billed_ani,bird,train,0.552,0.447447,123,49,429,249,0.3675675675675676
groove_billed_ani_0065_1502,groove_billed_ani,bird,train,0.552897,0.472,110,52,329,420,0.4060050377833753
groove_billed_ani_0060_1505,groove_billed_ani,bird,test,0.605187,0.466,122,64,298,402,0.34287031700288184
groove_billed_ani_0006_1763,groove_billed_ani,bird,train,0.573,0.626126,188,151,385,266,0.13606606606606605
groove_billed_ani_0087_1765,groove_billed_ani,bird,test,0.432,0.436,91,53,341,274,0.2946666666666667
groove_billed_ani_0061_1510,groove_billed_ani,bird,train,0.564565,0.527,116,37,260,490,0.39178378378378376
groove_billed_ani_0062_1767,groove_billed_ani,bird,test,0.53,0.609333,114,86,416,371,0.45904
groove_billed_ani_0092_1516,groove_billed_ani,bird,test,0.532,0.527638,155,118,377,302,0.20526633165829145
groove_billed_ani_0032_1776,groove_billed_ani,bird,train,0.51,0.532,156,25,354,374,0.368544
groove_billed_ani_0009_1522,groove_billed_ani,bird,test,0.541,0.493711,215,59,326,412,0.16428930817610063
groove_billed_ani_0078_1780,groove_billed_ani,bird,test,0.336735,0.287466,55,46,176,165,0.11438580881944058
groove_billed_ani_0012_1784,groove_billed_ani,bird,train,0.48,0.546296,183,98,297,315,0.1308888888888889
crested_auklet_0006_1813,crested_auklet,bird,test,0.56,0.50125,204,60,356,341,0.21356
crested_auklet_0042_794902,crested_auklet,bird,test,0.377874,0.55,48,68,215,482,0.3973448275862069
crested_auklet_0061_794904,crested_auklet,bird,train,0.549401,0.532,101,64,266,468,0.3991616766467066
crested_auklet_0018_1817,crested_auklet,bird,train,0.573574,0.55,52,51,330,499,0.7480120120120121
crested_auklet_0010_794907,crested_auklet,bird,train,0.402695,0.463,22,45,247,418,0.5025449101796408
crested_auklet_0041_794910,crested_auklet,bird,test,0.495,0.496063,1,14,296,238,0.8671916010498688
crested_auklet_0029_1824,crested_auklet,bird,train,0.455521,0.538,25,39,272,499,0.6970552147239264
crested_auklet_0044_1825,crested_auklet,bird,test,0.483,0.636,124,116,359,361,0.30706666666666665
crested_auklet_0013_794914,crested_auklet,bird,train,0.484674,0.515625,39,59,214,271,0.4442049808429119
crested_auklet_0047_794918,crested_auklet,bird,train,0.505,0.535,32,43,170,171,0.4416
crested_auklet_0005_794922,crested_auklet,bird,train,0.652695,0.518,130,59,306,459,0.4215568862275449
crested_auklet_0019_794925,crested_auklet,bird,train,0.5025,0.5,31,9,170,264,0.6491758241758242
crested_auklet_0011_794927,crested_auklet,bird,test,0.548,0.555439,156,54,392,477,0.4176903765690377
crested_auklet_0059_794929,crested_auklet,bird,test,0.521028,0.496875,11,8,212,310,0.8864193925233644
crested_auklet_0032_794931,crested_auklet,bird,train,0.443,0.521341,113,15,330,327,0.4128292682926829
crested_auklet_0057_794932,crested_auklet,bird,train,0.47181,0.509,5,25,313,484,0.8390029673590504
crested_auklet_0021_794938,crested_auklet,bird,test,0.545741,0.493,45,23,301,470,0.7219684542586751
crested_auklet_0045_794940,crested_auklet,bird,train,0.442804,0.540842,10,69,230,368,0.600818384421468
crested_auklet_0001_794941,crested_auklet,bird,train,0.492284,0.638542,34,141,285,472,0.5342142489711934
crested_auklet_0039_794944,crested_auklet,bird,train,0.539244,0.488,114,75,257,413,0.28101162790697676
crested_auklet_0074_794949,crested_auklet,bird,test,0.457565,0.5,53,62,195,342,0.36315808702641483
crested_auklet_0028_794951,crested_auklet,bird,test,0.52583,0.560644,84,101,201,352,0.2682309743889518
crested_auklet_0052_794952,crested_auklet,bird,train,0.435424,0.616337,30,132,206,366,0.37616455372474517
crested_auklet_0012_794960,crested_auklet,bird,train,0.569892,0.524934,98,57,220,343,0.3282439157470908
crested_auklet_0003_794962,crested_auklet,bird,train,0.346,0.496,60,54,286,318,0.318208
crested_auklet_0033_794964,crested_auklet,bird,train,0.615,0.478979,252,54,363,265,0.14066666666666666
